cell,dates,nums_cr,pages_table_start,line_order,title
 portillon sur rue pour accès espaces verts en façade bord,['04-11-2014'],"[66, 67, 68, 69, 71, 72, 73, 74, 75]","[361, 367, 373, 379, 384, 389, 395, 401, 406]",5,Ent Jean LEFEBVRE
 poser fourreau 1∅63 pour téléreport gaz entre armoire gaz en limite de propriété et cour de service (pour MQB),['12-08-2014'],[54],[282],9,Ent Jean LEFEBVRE
 prolonger les fourreaux ∅160 et 63 allant au TGBT,['14-10-2014'],"[63, 65]","[342, 355]",6,Ent Jean LEFEBVRE
 prolonger les fourreaux ∅160 et 63 allant au TGBT Mairie d’AUBY – Réhabilitation et extension de la piscine municipale – CR 64 211014.doc 6 Pour action Observations,['14-10-2014'],[64],[348],6,Ent Jean LEFEBVRE
 prévoir de récupérer les DEP selon le plan transmis par BC,['28-01-2014'],"[28, 29, 30, 31, 32, 33, 34, 35]","[155, 161, 167, 173, 179, 185, 191, 197]",2,Ent Jean LEFEBVRE
 prévoir de récupérer les DEP selon le plan transmis par BC DOCUMENTS REMIS EN REUNION,['28-01-2014'],[27],[149],2,Ent Jean LEFEBVRE
 prévoir fourreaux 1∅160 + 1∅63 entre transfo (contre mur côté poteau EDF) et local TGBT (carottage à réaliser par DEVRED),['12-08-2014'],[54],[282],8,Ent Jean LEFEBVRE
" prévoir station de relevage pour le drain (sortie drain à -4,30)",['01-10-2013'],"[17, 18, 19, 20, 21, 22, 23]","[89, 95, 101, 107, 113, 119, 125]",1,Ent Jean LEFEBVRE
" prévoir station de relevage pour le drain (sortie drain à -4,30) DOCUMENTS REMIS EN REUNION",['01-10-2013'],"[13, 14]","[65, 71]",1,Ent Jean LEFEBVRE
" prévoir station de relevage pour le drain (sortie drain à -4,30) DOCUMENTS REMIS EN REUNION De BC à DR:",['01-10-2013'],[12],[59],1,Ent Jean LEFEBVRE
 ressortir fourreau électrique du coffret gaz,['04-11-2014'],"[66, 67, 68]","[361, 367, 373]",4,Ent Jean LEFEBVRE
 réalisation à venir de la plage extérieure. Transmettre les essais de plaques,['29-07-2014'],"[54, 55, 57, 58, 59, 60, 61, 62]","[282, 288, 302, 309, 316, 322, 328, 334]",6,Ent Jean LEFEBVRE
 réalisation à venir de la plage extérieure. Transmettre les essais de plaques Mairie d’AUBY – Réhabilitation et extension de la piscine municipale – CR 56 260814.doc 6 Pour action Observations,['29-07-2014'],[56],[295],5,Ent Jean LEFEBVRE
 solarium béton acidé refusé en l’état,['18-11-2014'],[68],[373],7,Ent Jean LEFEBVRE
 solarium béton acidé refusé en l’état. 25/11/14 : constat le 02/12/14,['18-11-2014'],[69],[379],2,Ent Jean LEFEBVRE
 solarium béton acidé refusé en l’état. 25/11/14 : constat le 02/12/14. 02/12/14 : refus confirmé en l’état actuel. 09/12/14 : refus maintenu compte tenu de l’hétérogénéité de l’état de surface et des finitions en rive,['18-11-2014'],[74],[401],1,Ent Jean LEFEBVRE
" terminer les raccordements des EP, transmettre les essais d’étanchéité et essais de plaque, localisés dessous les plages extérieures",['05-08-2014'],"[54, 55, 56, 57, 58, 59]","[282, 288, 295, 302, 309, 316]",7,Ent Jean LEFEBVRE
 terminer l’apport de terre végétale,['14-10-2014'],"[63, 64, 65]","[342, 348, 355]",5,Ent Jean LEFEBVRE
 transmettre les actes de vos sous-traitants,['22-07-2014'],"[54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68]","[282, 288, 295, 302, 309, 316, 322, 328, 334, 342, 348, 355, 361, 367, 373]",5,Ent Jean LEFEBVRE
 voir pour remblayer façade sud pour protéger réseau d’assainissement avant pose des vitrages,['25-03-2014'],"[34, 35, 36]","[191, 197, 203]",3,Ent Jean LEFEBVRE
 confirmation à charge fourniture grilles de ventilation sauf BV chaufferie et grilles dans hall bassins,['29-04-2014'],"[43, 44, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67]","[214, 220, 226, 232, 238, 244, 250, 257, 264, 272, 280, 287, 294, 301, 308, 315, 321, 327, 333, 340, 347, 353, 359, 365]",2,Architecture Aluminium
" trappes accès bacs tampon à charge du lot traitement d’eau. A déduire du marché. 24/09/13 : après revérification les trappes sont bien à prévoir par le lot serrurerie, non prévues au lot trai- tement d’eau",['17-09-2013'],"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[53, 58, 64, 70, 76, 82, 88, 94, 100, 106]",0,Architecture Aluminium
 bloc porte local poubelle à poser en tunnel et condamner la porte,['10-06-2014'],"[46, 47, 48]","[226, 232, 238]",8,Architecture Aluminium
 confirmer date d’intervention pour pose escalier à BC pour organisation utilisation grue,['18-02-2014'],[29],[160],2,Architecture Aluminium
 faire réponse sur fiche d’observation du bureau de contrôle,['09-12-2014'],"[72, 73, 74]","[388, 394, 400]",4,Architecture Aluminium
 fournir la cage d’ancrage du palan,['01-10-2013'],"[12, 13, 14, 15, 16]","[58, 64, 70, 76, 82]",1,Architecture Aluminium
" fournir pour le 06/09/13 les charges à reprendre par le GO pour le palan, les réser- vations des divers BP, les grilles de ventilation, les trappes de bacs tampon et le poids propre des divers escaliers",['03-09-2013'],[8],[38],0,Architecture Aluminium
" fournir pour le 06/09/13 les charges à reprendre par le GO pour le palan, les réservations des divers BP, les grilles de ventilation, les trappes de bacs tampon et le poids propre des divers escaliers. 10/09/13 : fournir de manière urgente les charges du palan et des escaliers",['03-09-2013'],[9],[43],0,Architecture Aluminium
 fournir pour le 16/09/14 la liste des portes avec les longueurs de cylindres à DRD pour finalisation de l’organigramme,['09-09-2014'],"[58, 59]","[308, 315]",6,Architecture Aluminium
 fournir solde des plans EXE,['29-04-2014'],"[43, 44, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57]","[214, 220, 226, 232, 238, 244, 250, 257, 264, 272, 280, 287, 294, 301]",1,Architecture Aluminium
 garde corps escalier accès galeries techniques en peinture et garde corps en maille finition galvanisé,['10-06-2014'],"[46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69]","[226, 232, 238, 244, 250, 257, 264, 272, 280, 287, 294, 301, 308, 315, 321, 327, 333, 340, 347, 353, 359, 365, 371, 377]",6,Architecture Aluminium
" les fixations en sous-sol seront réalisées chimiquement (cuvelage sur 0,50m)",['11-02-2014'],"[28, 29, 30]","[154, 160, 166]",0,Architecture Aluminium
 main courante escalier hélicoïdal en tube ∅42 et non tube 50x10,['10-06-2014'],"[46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69]","[226, 232, 238, 244, 250, 257, 264, 272, 280, 287, 294, 301, 308, 315, 321, 327, 333, 340, 347, 353, 359, 365, 371, 377]",5,Architecture Aluminium
 mettre caillebotis sur les 2 cours anglaises façade ouest,['09-12-2014'],"[72, 73]","[388, 394]",3,Architecture Aluminium
 mettre caillebotis sur les 2 cours anglaises façade ouest. 13/01/15 : condamner la cour anglaise au pied de l’issue de secours vestiaires avec un caillebotis et une tôlerie avec retour vertical,['09-12-2014'],"[74, 75]","[400, 405]",0,Architecture Aluminium
 passage crémone porte local technique posé en perçant le cuvelage. Voir avec BC la reprise à effectuer,['04-03-2014'],"[31, 32, 33, 34, 35, 36, 43, 44, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67]","[172, 178, 184, 190, 196, 202, 214, 220, 226, 232, 238, 244, 250, 257, 264, 272, 280, 287, 294, 301, 308, 315, 321, 327, 333, 340, 347, 353, 359, 365]",1,Architecture Aluminium
 plan attentes électriques potence pour le 25/09/13,['24-09-2013'],[11],[53],1,Architecture Aluminium
 plan escalier issue de secours vestiaires à fournir URGENT,['30-09-2014'],[61],[327],6,Architecture Aluminium
 plan escalier issue de secours vestiaires à fournir URGENT. 07/10/14 : URGENT,['30-09-2014'],"[62, 63, 64]","[333, 340, 347]",6,Architecture Aluminium
" porte accès local technique sous-sol, grille sur la largeur totale de l’imposte",['11-02-2014'],"[28, 29, 30]","[154, 160, 166]",1,Architecture Aluminium
 poser 2 grilles 30x30cm sur VB des locaux produits,['09-12-2014'],"[72, 73]","[388, 394]",2,Architecture Aluminium
 poser rapidement portes RDC,['20-05-2014'],"[43, 44, 46, 47, 48]","[214, 220, 226, 232, 238]",3,Architecture Aluminium
 prendre cote pour mise en fabrication bloc portes sous sol + escalier cour de service + garde corps cour de service,['07-01-2014'],[24],[130],0,Architecture Aluminium
 prévoir amenée d’air réglable dans trappe de visite bac tampon,['03-06-2014'],"[44, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 72, 73]","[220, 226, 232, 238, 244, 250, 257, 264, 272, 280, 287, 294, 301, 308, 315, 321, 327, 333, 340, 347, 353, 359, 365, 371, 377, 388, 394]",5,Architecture Aluminium
 prévoir mise en place butoir de porte provisoire sur porte local poubelles,['03-06-2014'],[44],[220],4,Architecture Aluminium
 prévoir seuil sur porte local matériel pédagogique et porte local poubelles,['07-10-2014'],"[62, 63, 64, 65, 66, 67]","[333, 340, 347, 353, 359, 365]",7,Architecture Aluminium
 prévoir seuil sur porte porte local poubelles,['07-10-2014'],"[68, 69, 72, 73]","[371, 377, 388, 394]",3,Architecture Aluminium
 réunion organigramme le 09/09/14 à 14h00. Présence obligatoire,['12-08-2014'],"[54, 55, 56, 57]","[280, 287, 294, 301]",7,Architecture Aluminium
 séparatif vestiaires / hall bassins à poser au nu côté vestiaires,['10-06-2014'],"[46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67]","[226, 232, 238, 244, 250, 257, 264, 272, 280, 287, 294, 301, 308, 315, 321, 327, 333, 340, 347, 353, 359, 365]",7,Architecture Aluminium
" terminer pose portes sous-sol, reprise des cueillies faites",['04-03-2014'],"[31, 32, 33, 34, 35, 36]","[172, 178, 184, 190, 196, 202]",0,Architecture Aluminium
 transmettre dossier EXE à SOCOTEC,['21-10-2014'],"[64, 66]","[347, 359]",9,Architecture Aluminium
 transmettre dossier EXE à SOCOTEC Mairie d’AUBY – Réhabilitation et extension de la piscine municipale – CR 65 281014.doc 4 Pour action Observations,['21-10-2014'],[65],[353],8,Architecture Aluminium
 trappes accès bacs tampon à charge du lot traitement d’eau. A déduire du marché,['17-09-2013'],[10],[48],0,Architecture Aluminium
 confirmer type de gâche électrique sur accès remise en forme Mairie d’AUBY – Réhabilitation et extension de la piscine municipale – CR 59 160914.doc 5 Pour action Observations,['08-07-2014'],"[59, 61]","[315, 327]",2,APPLICAM
 fournir carnet de câblage Mairie d’AUBY – Réhabilitation et extension de la piscine municipale – CR 32 110314.doc 5 Pour action Observations,['11-02-2014'],"[32, 43]","[178, 214]",1,APPLICAM
 fournir carnet de câblage. 24/06/14 : reprendre contact avec DEVRED pour finaliser le câ- blage,['11-02-2014'],"[47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]","[233, 239, 245, 251, 258, 265, 273, 281, 288, 295, 302, 309, 315]",1,APPLICAM
 fournir dossier EXE pour le 01/10/13 Mairie d’AUBY – Réhabilitation et extension de la piscine municipale – CR 10 170913.doc 5 Pour action Observations,['17-09-2013'],"[10, 11]","[48, 53]",0,APPLICAM
 confirmer type de gâche électrique sur accès remise en forme,['08-07-2014'],"[49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 60, 62, 63, 64, 65, 66, 67, 68, 69, 71, 72, 73, 74]","[245, 251, 258, 265, 273, 281, 288, 295, 302, 309, 321, 334, 341, 348, 354, 360, 366, 372, 378, 384, 389, 395, 401]",2,APPLICAM
 fournir carnet de câblage,['11-02-2014'],"[28, 29, 30, 31, 33, 34, 35, 36, 44, 46]","[154, 161, 167, 173, 184, 190, 196, 202, 220, 227]",1,APPLICAM
 fournir cote de réservation pour tiroir caisse et autres appareillages du contrôle d’accès à intégrer dans la banque d’accueil,['10-06-2014'],"[46, 47, 48]","[227, 233, 239]",2,APPLICAM
