cell,dates,nums_cr,pages_table_start,line_order,title
"préciser la finition des ébrasements et sous face de plancher haut au droit de
chaque accès extérieur de la zone plongée",['15-01-2014'],"[38, 39, 40, 41]","[279, 288, 297, 306]",18,BERIM
"préciser le niveau bas des canons de lumière pour définition des niveaux de toile
tendue et faire détail de finition toile/CTBX/ossature canon de lumière",['11-09-2013'],"[22, 23, 24]","[155, 162, 169]",19,BERIM
"quantité disponible à l’origine 21 343m3, dont environ 4 000m3 ont été utilisés pour
le fond de forme du parking. Reste environ 17 300m3 théorique, 15 000m3 selon le relevé géo-
mètre missionné par SOGEA début mars (12 000m3 en 0/40, 2 000m3 en 0/80, 1 000m3 en
terre)",['11-09-2013'],"[22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 35, 36, 37, 38, 39, 40, 44]","[158, 165, 172, 180, 187, 195, 202, 209, 217, 225, 233, 241, 257, 265, 273, 283, 292, 301, 338]",11,BERIM
"relancer le responsable structure qui a modélisé la charpente métallique pour finali-
ser l’étude avec SOGEA",['20-03-2013'],"[2, 3]","[15, 20]",11,BERIM
"rotation du caniveau de fond de fosse plongée, déplacement du bac tampon de la
fosse et création d’un local stockage produit. Extrait de plan à mettre à jour pour diffusion",['06-03-2013'],"[1, 2]","[10, 15]",5,BERIM
"réservation au droit coursive au-dessus local MNS à scier pour hauteur fini de
500mm en alignant les deux réservations
Réception support par CRI du 12/03/14
- effectuer enduit sur maçonnerie recouverte de faïence
- fosse de plongée, reprendre désaffleur entre les deux levées de coulage des bajoyers. Reste à vérifier la dimen-
sion en plan (∅ constant à vérifier sur la hauteur)",['09-04-2014'],"[49, 49, 51]","[377, 388, 406]",34,BERIM
"synthèse RDC, R+1 et toiture le 10/09/13. Diffusion plan de réservations pour le 13/09/13. 18/09/13 :
plan présenté validé à compléter avec réservation pour bain chaud pour le 20/09/13. 25/09/13 : diffuser plan
de synthèse réservations RDC et R+1 y compris gradins sans délai",['05-09-2013'],"[24, 25, 26]","[168, 176, 183]",16,BERIM
"voir avec BERIM et MONTARON plan de profilage des espaces verts en fonction des
matériaux disponibles en remblais",['02-10-2013'],"[25, 26, 27, 28, 29, 30, 31]","[177, 184, 192, 199, 207, 214, 222]",15,BERIM
"voir avec BERIM et MONTARON plan de profilage des espaces verts en fonction des matériaux dispo-
nibles en remblais. 20/11/13 : établir plan d’aménagement paysager avec cote de niveaux pour le
04/12/13",['02-10-2013'],"[32, 33, 34, 35, 36]","[230, 238, 246, 254, 262]",9,BERIM
"voir avec BERIM et MONTARON plan de profilage des espaces verts en fonction des matériaux dispo-
nibles en remblais. 20/11/13 : établir plan d’aménagement paysager avec cote de niveaux pour le 04/12/13.
08/01/14 : URGENT pour le 15/01/14 dernier délai. 22/01/14 : présence en réunion le 22/01/14 obliga-
toire",['02-10-2013'],"[39, 40, 41, 42, 43, 44]","[288, 297, 306, 315, 324, 333]",10,BERIM
"voir le problème de l’étanchéité à l’air entre l’arrière de la membrane et les locaux
intérieurs",['30-10-2013'],"[29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48]","[207, 214, 222, 230, 238, 246, 254, 262, 270, 279, 288, 297, 306, 324, 333, 342, 351, 360, 369]",18,BERIM
